id,publish,name,link,cloudfront_image,image,image_width,image_id,type,city,description,takeaway_text,takeaway_link,delivery_information,delivery_link,Real time delivery,opening_days,opening_hours,delivery_radius,prepared_food,voucher_text,voucher_link,flourish_link,instagram_link,Instagram_followers,phone_number,Email address,regular_menu_available,vegan_options,alcohol_available,groceries_available,meal_kits_available,nhs_donations_available,nhs_donations_link,full_address,postcode,area,city_region,last_updated_manually,last contacted,appendix_info,,,Am/Pm,opening_hours,,Delivery radius,Multiple locations,NHS Discount,menu link,voucher_available,delivery_available,takeaway_available,,,,
18,yes,Pidgin,https://www.pidginlondon.com/,https://dw96cc912fm1e.cloudfront.net/5a802f10-6eee-467a-81e8-d70391ee6374.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/qwmahz18nj38tj5giemr.jpg",400,qwmahz18nj38tj5giemr,Restaurant,London,One of East London's best foodie spots are bringing their innovative Michelin star menu to your home with their new Homing Pidgin service - the two negronis for £9 are not to be missed,,https://www.pidginlondon.com/,Homing Pidgin service is available Thurs - Sun only; it isn't clear if you can pick-up wines on other days; also isn't clear what times you can pick-up at,n/a,FALSE,Thurs - Sun,,n/a,TRUE,n/a,n/a,n/a,https://www.instagram.com/pidginlondon,31400,02072548311,,TRUE,,TRUE,FALSE,,,,"52 Wilton Way, Hackney, London E8 1BG",E8 1BG,London Fields,East London,,28/03/2020,"Nestled away just north of London Fields, this cosy Michelin star restaurant has built a reputation as one of East London best foodie spots with an innovative four course menu that changes every week based around their pledge never to repeat a dish.",,,,,,,,,,FALSE,TRUE,TRUE,,,,
19,yes,Snackbar,https://snackbarlondon.com/,https://dw96cc912fm1e.cloudfront.net/312c1631-a46c-4854-8ca3-b78c332714a7.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/atabzeygitzuamnyrrie.jpg",400,atabzeygitzuamnyrrie,Restaurant,London,,,https://snackbar.slerp.com/order,Now offering a range of rice bowls and dumplings for home delivery (pick-up in store also available),https://snackbar.slerp.com/order,TRUE,Wed - Fri; Sat,1100 - 1500; 1200 - 1500,TBC,TRUE,n/a,n/a,n/a,https://www.instagram.com/snackbarlondon,9224,n/a,,TRUE,,TRUE,FALSE,,,,"20 Dalston Ln, Dalston, London E8 3AZ",E8 3AZ,Dalston,East London,,28/03/2020,available between 11am-3pm from Monday to Friday,,,,,,,,,,FALSE,TRUE,TRUE,,,,
20,yes,Four Legs,https://www.instagram.com/fourlegs_ldn/,https://dw96cc912fm1e.cloudfront.net/5721f19a-030a-4177-869a-f1518cd05ed5.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/ujj0smaxjqabwir8evih.jpg,400,ujj0smaxjqabwir8evih,Pub,London,,,https://www.fourlegs.kitchen/order,Available for pick-up at their Islington base in the Compton Arms. Also offering delivery services in and around Islington. It isn't clear what their radius is or what their opening times are!,https://www.fourlegs.kitchen/order,TRUE,Tues - Sun,,,TRUE,Donate to Four Legs staff here,https://www.gofundme.com/f/four-legs-for-the-people?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,n/a,https://www.instagram.com/fourlegs_ldn,7309,n/a,,FALSE,,FALSE,FALSE,,,,"4 Compton Ave, Islington, London N1 2XD",N1 2XD,Islington,North London,,28/03/2020,,,,,,,,,,,TRUE,TRUE,TRUE,,,,
21,no,Mao Chow,https://www.mao-chow.com/,https://dw96cc912fm1e.cloudfront.net/49f59aab-919c-41a9-8d64-7f9e2cc7a2aa.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/dsptigz8xosqdsafuu9t.jpg,400,dsptigz8xosqdsafuu9t,Restaurant,London,TEMPORARILY CLOSED,n/a,n/a,"Now offering dumplings, noodles and more. Text 07593824557 with your order, address and delivery instructions",n/a,,,,,,n/a,n/a,n/a,https://www.instagram.com/mao_chow,1154,n/a,,TRUE,,FALSE,FALSE,,,,"159A Mare St, Hackney, London E8 3RD",E8 3RD,Hackney,East London,,,"This Sichuan vegan street food joint in Hackney serves up a range of noodles, dumplings and veggies with so much flavour there's something just just about everyone (even die-hard carnivores)",,,,,,,,,,,,,,,,
22,yes,Love Shack,https://www.loveshackldn.com/,https://dw96cc912fm1e.cloudfront.net/cca2b19f-826a-4c03-8003-1f2f54662ccc.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/m5axvcordd6tbge6j3ef.jpg",400,m5axvcordd6tbge6j3ef,Restaurant,London,"Love Shack is a plastic free patch of vegan paradise in the heart of Hackney, East London. We are a dog friendly vegan restaurant, cocktail bar, events space, cafe, juice and smoothie bar and much more. A place where the food is good, the drinks are great, the music has rhythm and the vibes are just lovely",n/a,n/a,"Open Mon - Sat. Now offering same day delivery on orders before 2PM to certain central and east London locations. They do special delivery days to SE London (Tues); Central & West (Weds); and SW (Thurs) along with deliveries to most of London on Sat;  Usually order before 9am that day for same day, Sat deliveries must be in by 9pm Friday",https://www.loveshackldn.com/love-in-store,FALSE,Mon - Sat,online,See description,FALSE,n/a,n/a,n/a,https://www.instagram.com/loveshack_ldn,9235,07717756709,,FALSE,,TRUE,TRUE,FALSE,FALSE,n/a,"Arch 298, 299 Cambridge Heath Rd, London E2 9HA",E2 9HA,Hackney,East London,,28/03/2020,,,,,,,,,,,FALSE,TRUE,FALSE,,,,
23,no,E Pellicci,https://epellicci.co.uk/,https://dw96cc912fm1e.cloudfront.net/759346ee-b49f-406b-93b2-ebd116e1d9c2.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/r1vbvzm541c7exhod1ut.jpg,400,r1vbvzm541c7exhod1ut,Restaurant,London,This Italian-run joint has a reputation as the king of East-end caffs.  Now with a takeaway menu featuring a range of Italian classics including lasagne and spag bol (as well as their famous chips),n/a,https://epellicci.co.uk/wp-content/uploads/epellicci.pdf.pdf,were offering takeaway but now closed,n/a,FALSE,now closed,n/a,,TRUE,n/a,n/a,n/a,https://www.instagram.com/PellicciCafe,9675,02077394873,,FALSE,,FALSE,FALSE,,,,"332 Bethnal Green Rd, London E2 0AG",E2 0AG,Bethnal Green,East London,,28/03/2020,,,,,,,,,,,FALSE,TRUE,FALSE,,,,
24,yes,Yard Sale Pizza,https://yardsalepizza.com/,https://dw96cc912fm1e.cloudfront.net/cbf70458-b47e-472c-8b55-e194da082591.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/phrmeyhyrhgmaoxldkqf.jpg",400,phrmeyhyrhgmaoxldkqf,Restaurant,London,"Not only is this delicious pizza outfit still open for takeaway and delivery at all five sites but it's now also open for direct NHS donations, with just £10 feeding 7 of our NHS heroes",n/a,n/a,"YSP remains open for business and is offering pick-up and takeaway options from each of its stores - located in Clapton, Hackney Rd, Finsbury Park, Leytonstone and Walthamstow",https://www.yardsalepizzaorder.com/locator?locale=en-GB,TRUE,Mon - Thurs; Fri - Sat; Sun,1600 - 2200; 1200 - 2230; 1200 - 2200,multiple locations across east and west london,TRUE,NHS donations,n/a,n/a,https://www.instagram.com/yardsalepizza,23100,02036029090,,TRUE,,TRUE,FALSE,FALSE,TRUE,https://yardsalepizza.com/merch/,"105 Lower Clapton Rd, Lower Clapton, London E5 0NP",E5 0NP,North and East London (various),East London,,28/03/2020,​,,,,,,,TRUE,,,TRUE,TRUE,FALSE,,,,
25,no,Nandine,https://www.instagram.com/nandineuk,https://dw96cc912fm1e.cloudfront.net/,,,,Restaurant,London,,n/a,n/a,Now offering delicious mezze boxes for delivery in the Peckham and Camberwell area along with a takeaway from their Church St branch - call 02077033221 to order,n/a,,,,,,n/a,n/a,n/a,https://www.instagram.com/nandineuk,6924,,,,,,,,,,,,Camberwell,South London,,,Kurdish food by Chef Pary Baban. Smaller plates to share and kebabs from Kurdistan.,,,,,,,,,,,,,,,,
26,yes,Motcombs,https://motcombs.co.uk/,https://dw96cc912fm1e.cloudfront.net/8ecafc3b-3c0e-4141-b3dc-f015fcac71ef.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/wgo5kwvilkwkmgwzjldv.jpg",400,wgo5kwvilkwkmgwzjldv,Restaurant,London,This Belgravia bistro remains open for business - simply call 02072356382 to make your order. It isn't clear if they have changed hours during the lockdown,,n/a,Menu on website - call 02072356382 to order,https://motcombs.co.uk/,FALSE,Mon - Sun,0830 - 2300,n/a,TRUE,n/a,n/a,n/a,https://www.instagram.com/motcombsrestaurant/?hl=en,937,020 7235 6382,,TRUE,,TRUE,FALSE,FALSE,FALSE,n/a,"26 Motcomb St, Belgravia, London SW1X 8JU",SW1X 8JU,Belgravia,Central & West London,,28/03/2020,on motcomb street; mostly because they let me sit there for ages to read.,,,,,,,,,,FALSE,#REF!,TRUE,,,,
27,no,Locanda Ottoemezzo,https://www.locandaottoemezzo.org.uk/,https://dw96cc912fm1e.cloudfront.net/,,,,Restaurant,London,,n/a,n/a,n/a,n/a,,,,,,Buy gift voucher online,https://www.locandaottoemezzo.org.uk/gift-voucher-form/,,,9101,,,,,,,,,,,,Kensington,Central & West London,,,and its adjoining cafe. the restaurant is for fancy dinners and the cafe is open during the day; the food in both are great. CHANGED TO NO AS INSTA SAYS NO LONGER OPEN,,,,,,,,,,,,,,,,
28,yes,Darby's,https://www.darbys-london.com/,https://dw96cc912fm1e.cloudfront.net/f6ac580d-5d16-4ccd-8d4b-a6d1460a653f.png,"https://res.cloudinary.com/flourish-market/image/upload/g_auto,f_auto,c_fill,ar_1:1,w_400/zdvldclbombosilyru3n.jpg",400,zdvldclbombosilyru3n,Restaurant,London,"Darby's brasserie may be shut but they're now one of the best spots to top-up your pantry with a great offering from their butchers, deli counter and a range of pre-made dishes to heat up at home",,https://www.instagram.com/darbyslondon/,"Pick up in-store only, no delivery, menu on instagram. It isn't clear if they are only available on Wednesdays",n/a,FALSE,Wed,1100 - 1600,n/a,TRUE,n/a,n/a,n/a,https://www.instagram.com/darbyslondon/,6901,,,FALSE,,TRUE,TRUE,,,,"3 Viaduct Gardens, Nine Elms, London SW11 7AY",SW11 7AY,Vauxhall,South London,,28/03/2020,fancyish restaurant in vauxhall,,,,,,,,,,FALSE,#REF!,TRUE,,,,
29,no,Three Eight Four,no updates for 6 days,https://dw96cc912fm1e.cloudfront.net/,,,,,London,,,,,,,,,,,,,,,465,,,,,,,,,,,,Brixton,South London,,,,,,,,,,,,,,,,,,,
30,no,Salon,http://salonbrixton.co.uk/,https://dw96cc912fm1e.cloudfront.net/ce75b3d3-f649-4947-9950-f89da5a36055.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/t0ysy97dqyb9vlbd8ldk.jpg,400,t0ysy97dqyb9vlbd8ldk,Restaurant,London,NOT OPEN,n/a,n/a,n/a,n/a,,,,,,Vouchers available from Info@salonbrixton.co.uk,https://www.instagram.com/p/B-HmfcKH3BL/,n/a,https://www.instagram.com/p/B-HmfcKH3BL/,8383,02075019152,,,,,,,,,,,Brixton,South London,,,,,,,,,,,,,,,,,,,
31,yes,Old Spike Roastery,https://oldspikeroastery.com/,https://dw96cc912fm1e.cloudfront.net/89a281e8-98f4-4945-97f8-c66dfe11d42b.png,https://res.cloudinary.com/flourish-market/image/upload/w_400/pc8yly62fhveuescaggb.jpg,400,pc8yly62fhveuescaggb,Cafe,London,Old  Spike's popular Peckham coffee shop is currently closed but they're online shop is here for all your caffeine needs during quarantine ,n/a,n/a,Online store doesn't give an indication of their delivery times,https://oldspikeroastery.com/collections,FALSE,online,online,,FALSE,Online sales link,https://oldspikeroastery.com/collections,n/a,https://www.instagram.com/p/B-JhujeHDJX/,5070,no phone number,,FALSE,,FALSE,FALSE,,,,"54 Peckham Rye, Peckham, London SE15 4JR",SE15 4JR,Peckham,South London,,28/03/2020,,,,,,,,,,,TRUE,TRUE,FALSE,,,,
